n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
0,0,Global,Standing Next to You,Jung Kook,GOLDEN,91,2023-11-03,AR,0.711,0.0447,206020,0.809,0.0955,106.017,0.816
1,1,Global,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
2,2,Global,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
3,3,Global,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,2023-11-03,AR,0.79,0.312,183551,0.831,0.044,124.987,0.872
4,4,Global,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
5,5,Global,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,2023-10-13,AR,0.911,0.0887,162768,0.778,0.262,96.057,0.345
6,6,Global,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
7,7,Global,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
8,8,Global,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,2023-10-13,AR,0.787,0.15,267194,0.621,0.068,139.056,0.13
9,9,Global,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.0321,113.95,0.121
10,10,Global,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
11,11,Global,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
12,12,Global,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,0.0338,109.994,0.0662
13,13,Global,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,90,2023-10-20,AR,0.815,0.0277,143327,0.741,0.0569,125.031,0.591
14,14,Global,3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,89,2023-10-02,AR,0.853,0.0322,201812,0.824,0.103,108.044,0.888
15,15,Global,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,2023-08-10,AR,0.841,0.52,172798,0.738,0.307,169.918,0.484
16,16,Global,Agora Hills,Doja Cat,Scarlet,82,2023-09-20,AR,0.755,0.183,265360,0.687,0.101,123.01,0.381
17,17,Global,Que Onda,Calle 24,Que Onda,94,2023-08-30,AR,0.808,0.183,191467,0.944,0.0408,124.934,0.937
