n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
0,50,DEU,Liebe Grüsse,RAF Camora,Liebe Grüsse,80,2023-10-27,AR,0.796,0.179,136988,0.865,0.0801,130.012,0.768
1,51,DEU,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
2,52,DEU,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
3,53,DEU,Blonde Chaya - Sped up,Amaru,Blonde Chaya (Sped up),80,2023-09-08,AR,0.717,0.297,181053,0.804,0.144,170.926,0.832
4,54,DEU,2 Germans (feat. Gzuz),Luciano,2 Germans (feat. Gzuz),77,2023-10-26,AR,0.776,0.0283,149444,0.714,0.335,161.015,0.433
5,55,DEU,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
6,56,DEU,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
7,57,DEU,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
8,58,DEU,Hässlich,AYLIVA,Schwarzes Herz,82,2023-08-25,AR,0.914,0.12,136360,0.489,0.0858,108.072,0.559
9,59,DEU,14 PASSENGER,reezy,NUR DAMIT DU WEISST,79,2023-10-20,AR,0.815,0.0987,146040,0.666,0.109,119.964,0.533
10,60,DEU,Ms. Jackson,Pashanim,Ms. Jackson,82,2023-08-24,AR,0.774,0.163,147587,0.7,0.266,81.99,0.624
11,61,DEU,9 bis 9,SIRA,9 bis 9,82,2023-05-05,AR,0.767,0.364,131524,0.539,0.0629,128.055,0.368
12,62,DEU,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
13,63,DEU,Mädchen auf dem Pferd,Luca-Dante Spadafora,Mädchen auf dem Pferd,81,2023-05-12,AR,0.837,0.108,157059,0.944,0.352,169.975,0.681
14,64,DEU,2003,Liaze,2003,76,2023-10-20,AR,0.748,0.736,136280,0.551,0.0458,107.933,0.626
15,65,DEU,Komet,Udo Lindenberg,Komet,80,2023-01-19,AR,0.55,0.285,167357,0.5,0.045,115.016,0.351
16,66,DEU,Feuer Wasser Sturm,Niclov,Feuer Wasser Sturm,79,2023-08-25,AR,0.822,0.443,136552,0.74,0.0739,145.066,0.454
17,67,DEU,WE THE HOTTEST IN HERE,reezy,WE THE HOTTEST IN HERE,71,2023-10-27,AR,0.819,0.111,118000,0.521,0.113,121.0,0.599
18,68,DEU,ANGST>LIEBE,Ellice,ANGST>LIEBE,75,2023-10-13,AR,0.735,0.459,179385,0.46,0.228,119.949,0.294
19,69,DEU,Weißes Haus,AYLIVA,Schwarzes Herz,76,2023-08-25,AR,0.626,0.506,168147,0.435,0.336,82.839,0.521
20,70,DEU,Wenn du lächelst,Milano,Wenn du lächelst,73,2023-10-23,AR,0.693,0.348,123887,0.535,0.0579,98.092,0.442
21,71,DEU,EWIGKEIT - REMIX,erobé,EWIGKEIT (REMIX),79,2023-06-23,AR,0.715,0.0272,137647,0.845,0.137,170.028,0.647
22,72,DEU,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
23,73,DEU,Enchanté,Sosa La M,Enchanté,78,2023-09-15,AR,0.828,0.0794,96638,0.438,0.193,107.089,0.619
24,74,DEU,Take it,Jazeek,Take it,77,2023-09-22,AR,0.739,0.0262,172105,0.668,0.0471,114.045,0.579
25,75,DEU,LiEBE AUF DER RÜCKBANK,FiNCH,DORFDiSKO ZWEi,74,2023-06-01,AR,0.692,0.267,188520,0.732,0.145,154.881,0.628
26,76,DEU,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
27,77,DEU,Meine 1,1986zig,Meine 1,74,2023-10-13,AR,0.629,0.0429,184827,0.858,0.0509,149.654,0.693
28,78,DEU,Scheine zählen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.49,0.747,167947,0.379,0.0318,77.928,0.236
29,79,DEU,S u m m e r t i m e,danicpeepner,S u m m e r t i m e,55,2015-06-08,AR,0.706,0.299,195500,0.505,0.0505,132.58,0.227
30,80,DEU,Lass mich gehen,AYLIVA,Schwarzes Herz,78,2023-08-25,AR,0.38,0.114,157160,0.545,0.0451,178.182,0.302
31,81,DEU,Cold Princess,Luciano,Cold Princess,76,2023-10-12,AR,0.87,0.00852,153600,0.626,0.394,125.024,0.812
32,82,DEU,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,US,0.733,0.0294,163034,0.976,0.045,144.989,0.523
33,83,DEU,Ich will nur dass du weißt - IIVEN Remix,SDP,Ich will nur dass du weißt (IIVEN Remix),77,2023-07-27,AR,0.549,0.0355,156387,0.869,0.323,155.116,0.511
34,84,DEU,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
35,85,DEU,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
36,86,DEU,Cynical,twocolors,Cynical,82,2023-06-30,AR,0.69,0.0268,191365,0.84,0.0573,129.935,0.493
37,87,DEU,Push Up - Main Edit,Creeds,Push Up (Main Edit),85,2023-03-31,AR,0.767,0.209,139300,0.83,0.206,75.023,0.187
"38,88,DEU,""Dance For Me (1, 2, 3) - Stutter Techno"",Sonny Wern,""Dance For Me (1, 2, 3) [Stutter Techno]"",67,2023-10-06,AD,0.706,0.0505,147895,0.975,0.0651,154.993,0.319"
39,89,DEU,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.626,0.0656,279833,0.547,0.0342,109.946,0.192
40,90,DEU,Komm mit,badmómzjay,Komm mit,69,2023-10-26,AR,0.893,0.0643,159673,0.657,0.0891,109.978,0.417
41,91,DEU,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,0.0338,109.994,0.0662
"42,92,DEU,""""""Slut!"""" (Taylor's Version) (From The Vault)"",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.629,0.345,180381,0.413,0.055,77.983,0.306"
43,93,DEU,Weiche Kissen,Kontra K,Weiche Kissen,43,2023-10-19,AR,0.751,0.12,180173,0.641,0.312,139.92,0.563
44,94,DEU,Airplanes,badmómzjay,Airplanes,76,2023-09-07,AR,0.743,0.0861,146368,0.606,0.161,93.123,0.292
45,95,DEU,TABU.,Yung Yury,TABU.,77,2023-03-17,AR,0.667,0.219,135302,0.702,0.169,148.978,0.479
46,96,DEU,KETAMIN,YAKARY,KETAMIN,75,2023-06-16,AR,0.601,0.0796,172246,0.769,0.394,86.891,0.527
47,97,DEU,MAXIMUM RIZZ,Ski Aggu,denk mal drüber nach...,72,2023-10-12,AR,0.726,0.016,147960,0.856,0.158,75.016,0.951
48,98,DEU,In deinen Armen,AYLIVA,Schwarzes Herz,75,2023-08-25,AR,0.651,0.135,141318,0.591,0.0389,125.036,0.159
49,99,DEU,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,0.04,122.769,0.131
